sa2_code21,sa2_name21,z_num_stops,z_num_pois,z_sum,final_score
121011687,Willoughby,0.13223379465306553,-0.06252912230442163,0.0697046723486439,0.5174191157434085
121021403,Asquith - Mount Colah,3.232640811756148,0.8083682926109322,4.04100910436708,0.9827239839033489
121021404,Berowra - Brooklyn - Cowan,0.9460906366426246,2.579685068709957,3.5257757053525816,0.9714123352343711
121021406,Normanhurst - Thornleigh - Westleigh,2.4575390574803775,0.9633585105195969,3.4208975679999742,0.9683512910153332
121021577,Hornsby - East,-0.6041128719089165,0.2695927732141455,-0.334520098694771,0.4171412216839318
121021578,Hornsby - West,0.5197846717909508,0.11460255530548084,0.6343872270964316,0.6534835859476766
121021579,Wahroonga (West) - Waitara,-0.5266026964813395,0.04817817620176741,-0.4784245202795721,0.3826242207748254
121031407,Gordon - Killara,0.9848457243564132,1.4061877045443532,2.391033428900766,0.9161409971556368
121031408,Lindfield - Roseville,2.728824671476897,1.7456900866299994,4.4745147581068965,0.9887326494369263
121031409,Pymble,2.1345799931988063,1.0666853224587067,3.201265315657513,0.960881865514581
121031410,St Ives,1.7857842037747094,0.6829000209705847,2.468684224745294,0.9219171000915515
121031411,Turramurra,2.0053963674861777,4.57979692838844,6.5851932958746175,0.9986212431292699
121031412,Wahroonga (East) - Warrawee,1.566172040063241,2.0778119821485665,3.6439840222118076,0.9745183315880931
121041413,Cremorne - Cammeray,0.093478706939277,1.6423632746908896,1.7358419816301667,0.8501581493874644
121041414,Crows Nest - Waverton,-0.13905181934345417,1.9080607911057434,1.7690089717622892,0.8543343837318275
121041416,Neutral Bay - Kirribilli,-0.3328272579123968,0.35815861201909677,0.025331354106699955,0.5063324999117366
121041417,North Sydney - Lavender Bay,0.04180525665422563,0.6902805075376639,0.7320857641918895,0.6752628121912412
121041688,Mosman - North,0.7006417477886306,0.30649520604954184,1.0071369538381725,0.7324594728244976
121041689,Mosman - South,0.9202539115000989,0.8083682926109322,1.7286222041110313,0.8492361002025962
